,Neighbors,Dimensions,Calinski,Tau,Silhouette,Runtime_tSNE,Runtime_clustering
0,8,2,77539,5,0.849,1785.0,1.8
1,8,2,35328,10,0.755,1785.0,1.4
2,8,2,17909,20,0.699,1785.0,4.4
3,8,2,12364,40,0.649,1785.0,5.5
4,8,2,9801,100,0.664,1785.0,5.0
5,8,3,37051,5,0.815,1785.0,4.3
6,8,3,16324,10,0.754,1785.0,2.9
7,8,3,10074,20,0.694,1785.0,5.4
8,8,3,7157,40,0.69,1785.0,1.7
9,8,3,5985,100,0.616,1785.0,1.5
10,8,5,12665,5,0.833,1785.0,1.5
11,8,5,5249,10,0.702,1785.0,4.3
12,8,5,3496,20,0.687,1785.0,4.7
13,8,5,2764,40,0.654,1785.0,5.5
14,8,5,2421,100,0.632,1785.0,3.0
15,8,8,3565,5,0.75,1785.0,2.1
16,8,8,2277,10,0.744,1785.0,4.3
17,8,8,1892,20,0.701,1785.0,4.0
18,8,8,1592,40,0.679,1785.0,4.1
19,8,8,1389,100,0.647,1785.0,5.1
20,8,10,2314,5,0.797,1785.0,3.7
21,8,10,707,10,0.66,1785.0,6.8
22,8,10,668,20,0.64,1785.0,2.6
23,8,10,665,40,0.622,1785.0,6.1
24,8,10,637,100,0.619,1785.0,2.5
25,8,15,455,5,0.621,1785.0,2.9
26,8,15,381,10,0.585,1785.0,5.7
27,8,15,304,20,0.513,1785.0,3.9
28,8,15,306,40,0.511,1785.0,6.5
29,8,15,284,100,0.49,1785.0,3.6
30,8,20,298,5,0.53,1785.0,6.6
31,8,20,269,10,0.503,1785.0,3.7
32,8,20,218,20,0.445,1785.0,5.8
33,8,20,209,40,0.42,1785.0,3.1
34,8,20,195,100,0.414,1785.0,5.5
35,10,2,51165,5,0.822,1785.0,2.1
36,10,2,20691,10,0.754,1785.0,2.6
37,10,2,12593,20,0.705,1785.0,4.8
38,10,2,9385,40,0.647,1785.0,2.6
39,10,2,7864,100,0.597,1785.0,2.1
40,10,3,51629,5,0.819,1785.0,4.0
41,10,3,13509,10,0.764,1785.0,3.1
42,10,3,8999,20,0.693,1785.0,1.7
43,10,3,6836,40,0.63,1785.0,2.4
44,10,3,5711,100,0.598,1785.0,5.7
45,10,5,9339,5,0.754,1785.0,3.8
46,10,5,4600,10,0.706,1785.0,5.5
47,10,5,3087,20,0.669,1785.0,1.7
48,10,5,2099,40,0.628,1785.0,1.6
49,10,5,2163,100,0.625,1785.0,2.7
50,10,8,3211,5,0.786,1785.0,4.8
51,10,8,2396,10,0.744,1785.0,2.2
52,10,8,1686,20,0.694,1785.0,4.9
53,10,8,1387,40,0.661,1785.0,3.5
54,10,8,1291,100,0.645,1785.0,2.2
55,10,10,1335,5,0.705,1785.0,6.1
56,10,10,661,10,0.674,1785.0,1.8
57,10,10,573,20,0.644,1785.0,3.0
58,10,10,557,40,0.625,1785.0,7.1
59,10,10,582,100,0.614,1785.0,3.8
60,10,15,470,5,0.625,1785.0,5.9
61,10,15,364,10,0.575,1785.0,5.5
62,10,15,277,20,0.5,1785.0,5.7
63,10,15,284,40,0.494,1785.0,2.7
64,10,15,265,100,0.471,1785.0,6.1
65,10,20,281,5,0.531,1785.0,2.4
66,10,20,216,10,0.471,1785.0,3.9
67,10,20,180,20,0.417,1785.0,4.1
68,10,20,170,40,0.39,1785.0,2.6
69,10,20,160,100,0.369,1785.0,4.9
70,15,2,83149,5,0.829,1785.0,1.7
71,15,2,18047,10,0.71,1785.0,1.4
72,15,2,12670,20,0.687,1785.0,1.6
73,15,2,9327,40,0.671,1785.0,3.6
74,15,2,6973,100,0.644,1785.0,3.1
75,15,3,83010,5,0.828,1785.0,1.5
76,15,3,11997,10,0.696,1785.0,1.5
